school_emis_code,school_name,school_latitude,school_longitude
35210291,GPS CHAPPA,31.56156014,74.52515476
35210951,GGHS THEH PANJU KAHNA LAHORE CANTT,31.36788613,74.34663163
35220601,GHS CDG MASTER GHULAM MUHAMMAD JIA MUSA SHAHDARA,31.61978302,74.281866
35220242,GPS SAMADH,31.31627338,74.07950833
35220299,GGPS JAMALPURA RAIWIND,31.2786059,74.2227671
35210825,GGHS CDG ALLAMA IQBAL ROAD GHARI SHAHU,31.5560078,74.35552969
35210713,GGPS SHAHZADA,31.35324349,74.39967591
35210443,GPS SULTAN PURA,31.29243089,74.33689286
35210063,GGHS FATIMA 2-FANE ROAD LAHORE,31.5603446,74.31394874
35220589,GPS CDG SIDDIQUE PURA,31.60065493,74.3138215
35210169,GGES SALAMAT PURA,31.58516094,74.41185054
35210950,GGHS FAISAL TOWN LAHORE,31.47932977,74.30332334
35210473,GGES JEHANGIR PARK LAHORE CANTT,31.44276825,74.34522296
35210238,GPS RAKH BURJ,31.39069387,74.51664621
35210626,GGPS MODEL CHUNGI GUJJAR PURA,31.55438523,74.43209058
35210657,GGPS LAKHAN KAY SHARIF,31.60647985,74.51285868
35210232,GPS QILA JIWAN SINGH MINHALA / NARWAR,31.53661891,74.5982805
35220255,GPS NAUMANIA BUND ROAD,31.5474495,74.26577032
35210440,GPS LADHAKI BHULLAR,31.2964193,74.37883515
35210591,GGPS SOHARWARDIA,31.5792092,74.39600087
35210401,GPS MOTHA SINGH WALA,31.43951318,74.45075263
35220268,GPS ISLAMIA JIA MUSA,31.62013452,74.2816847
35210394,GPS KOTHA MALLIAN,31.39272405,74.45437881
35220430,GGPS BHAI KOT,31.2911717,74.1907353
35210630,"GGES DOGACH, BARKI ROAD LAHORE",31.54809713,74.41862823
35220563,GGPS CDG JUNIOR MODEL DATA NAGAR BADAMI BAGH,31.5984458,74.32009192
35210796,GGHS CDG GULSHAN PARK,31.5685475,74.3937986
35220414,GGPS MAJEED PARK SHAHDRA,31.63276504,74.30253125
35220225,GPS CHAH TAMBULI,31.30708267,74.10064029
35220239,GGPS NAHALA RAIWIND,31.27178568,74.17363208
35210909,GGHS CDG PUBLIC MODEL BLOCK-B GULBERG-II LHR,31.52110665,74.34271996
35210456,GPS NANGAR,31.40191833,74.30315201
35220241,GPS RANGEEL PUR P/O SUNDAR,31.36315731,74.10662103
35210488,GGPS MOTA SINGH,31.44225222,74.45280687
35210579,GGES CENRALMODEL CGE COLONY WAHDATROAD LAHORE,31.5102722,74.30607663
35210725,GGPS HAVELI TARKANA WALI,31.34185831,74.39546602
35210710,GGPS ATARI SAROBA,31.42985274,74.3677075
35210734,GGPS GAJU MATTA SHARQI,31.38508667,74.35906291
35210738,GGPS AHLO JHUGIAN,31.3744396,74.4104485
35210901,GHS CDG GULISTAN COLONY MUSTAFA ABAD,31.55282523,74.3675024
35210543,GGPS DEVSANI,31.47119673,74.5956915
35210205,GPS GHOWINDI,31.41198361,74.58429462
35220028,GHS TECHNICAL ISLAMIA MULTAN ROAD,31.53420492,74.28820289
35220217,GPS SULTAN PURA,31.4637576,74.2129727
35210797,GGES CDG BHAGBAN PURA BHOGIWAL,31.5843023,74.37169628
35210437,GPS JHADO,31.34542644,74.31131959
35220565,GGES CDG JUNIOR MODEL KHOKHAR PIND BADAMI BAGH,31.6076518,74.3312301
35210146,GGCMES GLOBE KEER KALAN,31.43803054,74.31417874
35220311,GGPS WATNA,31.2681083,74.2634373
35210222,GPS SOYIAN KALAN,31.50414733,74.55706551
35210289,GPS KAROWL WAR,31.63803403,74.37073354
35220509,GMMS ALI HAJVAIRY KOT BARKAT,31.6380771,74.2953713
35220586,GPS MC WEAVING FACTORY SHAHDARA,31.63665139,74.28404152
35220229,GES KAMAS,31.29894979,74.13456311
35220204,GPS SALAMAT PURA RAIWIND,31.25869642,74.2251588
35210822,GGHS CDG JUNIOR MODEL MIAN MIR SAHIB,31.54847092,74.35660106
35220210,GPS TAROGILL,31.3630905,74.20580107
35220046,GHS CHUNG MULTAN ROAD,31.43511415,74.17419065
35210688,GGPS BARHAMAN ABAD,31.55141355,74.48140064
35210605,GGES KHIZAR ABAD,31.5964176,74.3860475
35210160,GGES CHAUDRY COLONY KACHI ABADI,31.5420583,74.3130101
35210827,GGHS  MODEL QILA GUJAR SINGH,31.56715942,74.33125737
35220109,GES SUNDER LAHORE,31.35529194,74.12720027
35210445,GPS ASIL SULEMAN,31.3175898,74.35844307
35210143,GGHS GOPAL NAGAR,31.48912885,74.34383836
35210852,GPS MC KOTLI GHASI,31.58158862,74.43776697
35210079,GGHS ISLAMIA MUSTAFABAD,31.5553762,74.3620856
35210356,GPS THEH JHANB,31.2974921,74.4380362
35220118,GES MUNAWAR WASAN PURA,31.59107567,74.341921
35220127,GGES LADHE KAY NEEVAN,31.262773,74.3094809
35220523,GMMS KHOSHBOI PIR SHAHBAZ ROAD,31.60391377,74.35591836
