License No,Store Name,Store Address,Town Name,Location
426106911,M/S Khan Medical Store,41 Main Bazar Gawal Mandi Lahore,DATA GANJ BUKHSH TOWN,"31.571253797792597,74.32292212117599"
4363061011,M/S Al-Karim Traders,"Ch.Imam Din Medicine Market,II Floor Room No 10,12,out side Lohari Gate Lahore",DATA GANJ BUKHSH TOWN,"31.572691,74.3112316"
441406911,M/S Iftikhar Medical and General Store,118 Temple Road Chowk Bhund Pura Mozang Lahore,DATA GANJ BUKHSH TOWN,"31.55300096911052,74.31536286606521"
4437071011,M/S Medi Pak Depot,"6-B Agre Flates, Shadman Market Lahore",DATA GANJ BUKHSH TOWN,"31.53887911091973,74.3306745773161"
44440791011,M/S K.M Medicine Company,"Shop No.8 Imam Din Medicine Market Outside Lohari Gate, Lahore",DATA GANJ BUKHSH TOWN,"31.572691,74.3112316"
44710791011,M/S G.M Pharmacy,Shop No.48 Basement Al Meraj Arcade Chwok Chauburgy Lahore,DATA GANJ BUKHSH TOWN,"31.5543492,74.3058767"
448507911,"M/S Shan Medical Store,",Shop No.1 Muhammadi Market Main Bazar Sanda Kalan Lahore,DATA GANJ BUKHSH TOWN,"31.55655406552474,74.28058450393969"
01B08DGBT,Hafiz Medical and General,store 59-Mozang Road Lahore,DATA GANJ BUKHSH TOWN,"31.55522266393801,74.31948232382675"
03A08DGBT9,Paramount Pharmacy,34-Mozang Road Lahore,DATA GANJ BUKHSH TOWN,"31.558045593016832,74.31528711239528"
05BDGBT,Sundar Pharmaceutical,Temple Road Lahore,DATA GANJ BUKHSH TOWN,"31.555797,74.3167929"
23A08DGBT09,M/C Associates,11-A Birdwood Road 1st floor Drug Court Lahore,DATA GANJ BUKHSH TOWN,"31.545812966964856,74.32954542864412"
27B09DGBT10,Humayun dental Supplies,43-Mozang Road Lahore,DATA GANJ BUKHSH TOWN,"31.558273,74.3177276"
35ADGBT099,Ali Pharmacy,687 Shadman -1 opp Fatima Memorial Hospital Lahore,DATA GANJ BUKHSH TOWN,"31.534950682651917,74.32755098908702"
32ADGBT099,Al-Madina Medical store,42-B Lytton Road near Janaz Gah Lahore,DATA GANJ BUKHSH TOWN,"31.556282547978387,74.31024069158602"
61BDGBT0910,Sialvi Medicose,Shop No 3 Malik Munir Road Gulshan e Ravi Lahore,DATA GANJ BUKHSH TOWN,"31.55526475655189,74.28735501235784"
62BDGBT0910,Venus Drug house,Hospital road opp Eye Ward Mayo Hospital Lahore,DATA GANJ BUKHSH TOWN,"31.571369,74.317306"
73ADGBT099,Al Dawa Pharmacy,Noshahi Street opp Noshahi Masjid Muhammadi Park Raj Garh Road lahore,DATA GANJ BUKHSH TOWN,"31.559176,74.295177"
78ADGBT099,Usman Medical Store,29-G Sharaf Mansion 16-Queen Road Lahore,DATA GANJ BUKHSH TOWN,"31.554569,74.3208"
79BDGBT0910,Health Ways,Shadman II Jail Road Lahore,DATA GANJ BUKHSH TOWN,"31.53676109664205,74.33858693442357"
81ADGBT099,Chaudhary Drug House,opp Mayo Hospital ; 1st floor building Uniyai Lahore,DATA GANJ BUKHSH TOWN,"31.57091488007654,74.31728053143094"
84BDGBT0910,Madina Medical Store,22 Railway Road Lahore,DATA GANJ BUKHSH TOWN,"31.572889560260844,74.31781766748509"
85BDGBT0910,Ijaz Medical Store,36-Dave Samaj Road Sanat Nagar Lahore,DATA GANJ BUKHSH TOWN,"31.570206468776366,74.29799812179665"
87ADGBT109,Fazal Din's Pharma Plus,85-Jail Road Lahore,DATA GANJ BUKHSH TOWN,"31.541457477267826,74.33384419854809"
91ADGBT1010,Maqsood Medical store,"Shop No 1, Main Road Sanda Khurd",DATA GANJ BUKHSH TOWN,"31.563167086816108,74.28218996534373"
92BDGBT1010,Noor Medical Store,5-B Badar Din ROAD Mozang Lahore,DATA GANJ BUKHSH TOWN,"31.561216514896536,74.31946301515482"
94BDGBT1010,Bashir Medical Store,"Shop No 4, Raza Manzil Captrin Jamal Road Sanda Kalan Lahore",DATA GANJ BUKHSH TOWN,"31.556463498952528,74.27876791866001"
95ADGBT910,Alfalah Medical Store,Near Gyne Unit inside Services Hosoital Lahore,DATA GANJ BUKHSH TOWN,"31.5512639398594,74.32503287144222"
96BDGBT1010,New Ijaz Medical Store,38-Dave samaj Road Sanat Nagar Lahore,DATA GANJ BUKHSH TOWN,"31.570042656387525,74.29706172629194"
107adgbt910,Family Pharma Plus,Shop No 1 opp Family Welfare Maternity Hospital main Bazar Islampura Lahore,DATA GANJ BUKHSH TOWN,"31.567659,74.298619"
109ADGBT910,Charburji Pharma,"Franchise of Clinix Pvt , Iftikhar Building Chowk Chouburgi Lahore",DATA GANJ BUKHSH TOWN,"31.554347,74.305878"
111ADGBT910,"SIMS Pharmacy ,","Franchise of Clinix Pvt , Ali Centre 85-B/3 Jail Road opp Services lahore",DATA GANJ BUKHSH TOWN,"31.541072,74.3336664"
114ADGBT?910,DIP Pharmacy,71-A Jail road Lahore,DATA GANJ BUKHSH TOWN,"31.541917,74.332896"
117BDGBT1010,Cardiac care,848-C Shadman-1 Lahore,DATA GANJ BUKHSH TOWN,"31.53645980054451,74.33381720098758"
119BDGBT1010,Abbasi Medical Store,23Chohan road Lahore,DATA GANJ BUKHSH TOWN,"31.566328759851956,74.2874961738468"
128ADGBT910,Al-Bari Medicine,Chowk Mayo Hospital Lahore,DATA GANJ BUKHSH TOWN,"31.572734036482487,74.31780496636188"
130ADGBT910,Raza Pharmacy,10-C Shadman II inside raza Medical Complex opp PIC Lahore,DATA GANJ BUKHSH TOWN,"31.537564,74.335592"
131ADGBT910,Paradise Pharma,1st Floor Near Mahmood Pharmacy Chowk Mayo Hospital Lahore,DATA GANJ BUKHSH TOWN,"31.571333,74.317334"
132ADGBT910,New Mehmood Pharmacy,Chowk Mayo Hospital Lahore,DATA GANJ BUKHSH TOWN,"31.56973,74.319588"
133ADGBT910,New Mehmood Pharmacy,opp LWH near Niazi Chowk Lahore,DATA GANJ BUKHSH TOWN,"31.5877335,74.3079474"
134ADGBT910,Rehman Pharmacy,73-Jail road Lahore,DATA GANJ BUKHSH TOWN,"31.542056077421815,74.33289007842141"
135ADGBT910,Life Care pharmacy,89-D Jail road lahore,DATA GANJ BUKHSH TOWN,"31.535735955787136,74.33586340203449"
136ADGBT910,"Fatima Pharmacy ,",54-Railway road Gawal mandi Lahore,DATA GANJ BUKHSH TOWN,"31.5731484,74.323793"
120ADGBT910,Astra Pharma,604-Shadman-I Lahore,DATA GANJ BUKHSH TOWN,"31.5331153,74.3324499"
114BCANT1010,M/S SYGNIF PHAMA,H/O 26/27 ST#4 WOLLTON ROAD LHR,CANTT,"31.463079451659027,74.36670628878612"
143BDGBT1010,Madina Medical store,Chowk Ram Nagar Raj Garh lahore,DATA GANJ BUKHSH TOWN,"31.558530775593002,74.30093573594758"
144ADGBT910,B.M.Z Medicine,1st floor 14-B Agro based Flates Shadnman Market Lahore,DATA GANJ BUKHSH TOWN,"31.53857673596621,74.33142674517765"
147BDGBT1010,Mahmood Medical Store,opp Main Gate Veterinary Hospital Tape road Lahore,DATA GANJ BUKHSH TOWN,"31.5738622,74.2993032"
149ADGBT910,SBQ Pharmacy,Shop No 2 Bund road Mian Munshi Hospital Lahore,DATA GANJ BUKHSH TOWN,"31.576507482321183,74.2880163426513"
151ADGBT910,"Haider Medicine,","13-B, Ist Floor Agro Flates, Shadman Lahore.",DATA GANJ BUKHSH TOWN,"31.538970751680086,74.3310912001021"
152BDGBT1010,"Badar Medical Store,","I/S Badar Medical Complex, Begum Road, Mozang Adda Lahore.",DATA GANJ BUKHSH TOWN,"31.559143669133327,74.31263787482854"
154ADGBT1010,"Zeeshan Medical Store,","14-Queens Road, Fatima Centre, Lahore.",DATA GANJ BUKHSH TOWN,"31.553818955166093,74.32068791727927"
158ADGBT910,"New Mehmood Pharmacy,","Chowk Mayo Hospital, Lahore",DATA GANJ BUKHSH TOWN,"31.56973,74.319588"
166ADGBT910,"New Mahmood Pharmalcy,","Shop No.2, Ansari Manzil, Ground Floor Abdali Road, Islampura, Lahore.",DATA GANJ BUKHSH TOWN,"31.564761,74.290545"
168BDGBT1010,Maqsood Meldicose/Medical Store,"Main Sanda Road, Sanda Kalan, Lahore.",DATA GANJ BUKHSH TOWN,"31.561735366453437,74.28185220017693"
170ADGBT910,"Pharmac 119/B,",Near Masjid Anwar e Madina Shah Jamal Fazlia Colony Lahore.,DATA GANJ BUKHSH TOWN,"31.527432778652084,74.32457832244587"
173ADGBT910,"Mid City Hospital,","3/A Shadman-II, Jail Road, Lahore.",DATA GANJ BUKHSH TOWN,"31.538545153067986,74.33740407154737"
174ADGBT911,"City Pharmacy,","Ground Floor Anwar Tower 99-Shadman-I, Lahore",DATA GANJ BUKHSH TOWN,"31.541993434820235,74.32950179276317"
176BDGBT1011,"Noori Chemist,","Miccop Centre, 1-Mzang Road, Lahore.",DATA GANJ BUKHSH TOWN,"31.565956218109868,74.31373916715931"
178ADGBT911,"Unique Pharmacy,",Jamil Market Mehar M.Din Road Rajgarh Lahore.,DATA GANJ BUKHSH TOWN,"31.558739,74.295804"
181ADGBT1011,"Khyber Medical Store,","3-Haji Lal Street Temple Road, Lahore.",DATA GANJ BUKHSH TOWN,"31.553273068212512,74.31550096692864"
183BDGBT1011,"Bismillah Trader,","20-Imam Din Medicine Market, Lohari Lahore.",DATA GANJ BUKHSH TOWN,"31.572691,74.3112316"
184BDGBT1011,"Punjab Medical Store,","Shop No.5, Taj Arcade 73-Jail Road, Lahore.",DATA GANJ BUKHSH TOWN,"31.542553906106473,74.33404070263056"
189ADGBT911,"Vertax Enterprises,",165-Shadman-II Lahore.,DATA GANJ BUKHSH TOWN,"31.5283982,74.3352652"
191ADGBT911,"P.I.C. Pharmacy,",PICof Cardiology Jail Road Lahore.,DATA GANJ BUKHSH TOWN,"31.53720086243976,74.33444072697885"
194ADGBT911,A.P. Pharmacy,"Nisbat Road Chowk Mayo Hospital, Lahore.",DATA GANJ BUKHSH TOWN,"31.56973,74.319588"
196ADGBT911,"Omer Health Care,","Flat 12-B,2nd Floor Agrobase Shadman Market, Lahore.",DATA GANJ BUKHSH TOWN,"31.53931681437546,74.33105735974686"
197ADGBT911,Medicine House Pharmacy,303-Ravi Road opp Lady Willington Hospital Lahore,DATA GANJ BUKHSH TOWN,"31.587227250398538,74.3074754228382"
201ADGBT911,Linix Pharmacy,3-A Iftikhar building Chowk Choburgi Lahore,DATA GANJ BUKHSH TOWN,"31.554347,74.305878"
202BDGBT1011,Ali Medical and General Store,61-A Ferozpur Road Lahore,DATA GANJ BUKHSH TOWN,"31.535285,74.320832"
205ADGBT1011,Saleem Medical store,2-A Muslim Colony Qari Road Rajgarh lahore,DATA GANJ BUKHSH TOWN,"31.558629,74.295344"
206BDGBT1011,Adnan Medical Store,Tokay wala Chowk Rajgarh lahore,DATA GANJ BUKHSH TOWN,"31.557178,74.299205"
208ADGBT911,Mahmood Pharmacy,near Emergency waiting area Services Hospital Lahore,DATA GANJ BUKHSH TOWN,"31.542547835003283,74.33243296274057"
210BDGBT1011,Noor Enterprises,1st Floor Room No 15 73-Taj Arcade jail Road Lahorer,DATA GANJ BUKHSH TOWN,"31.541631,74.3353908"
211BDGBT1011,Al rehman Medical store,"Shop No 2, Propert No. 33-S-25 Nazooli Bazar Mozang Lahore",DATA GANJ BUKHSH TOWN,"31.55598628459841,74.31528800919496"
212ADGBT911,Green Plus Pharmacie,Dogar Building opp Ghora Hospital main Out Fall Road Lahore.,DATA GANJ BUKHSH TOWN,"31.5738579,74.299324"
213BDGBT1011,Dar Medical and General store,Shop No 1-2 opp zaheer Ice Factory 52-Chohan Road Oslampura.,DATA GANJ BUKHSH TOWN,"31.568018340532614,74.28472784357895"
216BDGBT1011,Medi Care Medical Store,House No 1 Umar Road Islampura Lahore,DATA GANJ BUKHSH TOWN,"31.565612,74.296764"
218ADGBT911,Pakistan Pharmacy,Inside Surrya Azeem hospital Choburgi Lahore,DATA GANJ BUKHSH TOWN,"31.55347202134081,74.30464449510505"
219BDGBT1011,Shah Roze Medical Store,Shop No 1 Hakimanwala Bazar sanda Khurd Lahore,DATA GANJ BUKHSH TOWN,"31.562992130728478,74.2866057424543"
121BCANT1010,M/S HAFIZ MEDICAL,and gernal soter BHATA CHOK BADIYA,CANTT,"31.48797235796135,74.41230474774942"
227ADGBT911,Pakistan Science Traders,17-F Sharif mansion 16-Queens Road Lahore,DATA GANJ BUKHSH TOWN,"31.55582875032575,74.3212573312708"
232ADGBT1011,Adil Medical store,inside Adil Hospital 27-B Karim Park Ravi Road lahore,DATA GANJ BUKHSH TOWN,"31.591059992964485,74.29874225610854"
234BDGBT1011,Saeed Medical store,shop No 2&3 opp Urology Ward Mayo Hospital Rattan Chand Road lahore,DATA GANJ BUKHSH TOWN,"31.56933039566025,74.31799333815198"
236ADGBT1011,Akram Medical store,SWH 17-S-18 Joy Shah Road sanda Lahore,DATA GANJ BUKHSH TOWN,"31.558296835005574,74.28693653771987"
237ADGBT911,Lahore Medicine Company,29/19 Davis Road Lahore.,DATA GANJ BUKHSH TOWN,"31.557577,74.339219"
238ADGBT911,Lady willingdon Pharmacy,franchisee of clinix (Pvt) Ltd,DATA GANJ BUKHSH TOWN,"31.590371903010293,74.30041413202514"
239ADGBT911,everex,suit No. 25 Floor Taj arcade 73-Jail Road Lahore,DATA GANJ BUKHSH TOWN,"31.541631,74.3353908"
240ADGBT911,"Bio Solution,",32-Iftikhar Building Choburgi Chowk Lahore,DATA GANJ BUKHSH TOWN,"31.55487802575523,74.30611228951862"
242ADGBT911,Raza Pharmacy,G-2 2-A shadman Colony Jail road lahore,DATA GANJ BUKHSH TOWN,"31.537795304731702,74.33681819174"
245ADGBT911,Farhan Medical store,G-1 PFMA Building basement 676-Shadman-I Lahore,DATA GANJ BUKHSH TOWN,"31.53463373949261,74.32954213067116"
246BDGBT1011,"Jehangir Medical Store,","96-temple Road Shop No. 1, Property No. S-57-R-96 Lahore",DATA GANJ BUKHSH TOWN,"31.556645862863224,74.31243529605437"
248ADGBT911,"Quality Pharmacy,","120/11/23, Temple Road, lahore.",DATA GANJ BUKHSH TOWN,"31.55278815132707,74.31422823306093"
249ADGBT911,"ZA, Traders,","10-B, Basement, Farid Plaza 65-Shadman, Market, Lahore.",DATA GANJ BUKHSH TOWN,"31.5380588,74.3296541"
251BDGBT1011,"Baig Pharma Enterprises,","Office No. 4, 57-Mozang Road, Bashir Car A.C, Building, Lahore.",DATA GANJ BUKHSH TOWN,"31.555704902421546,74.31953102534449"
252BDGBT1011,"Hussain Medical Store,","Shop No.11, chowk Sabri Masjid Properity NO. SWIII-38-5-32, Joy Shah Sanda Klan, Lahore.",DATA GANJ BUKHSH TOWN,"31.559822700479288,74.28376703417162"
222BDGBT1011,Malti Medical Traders,14-Khan arcade 16-Mauj darya Road Lahore,DATA GANJ BUKHSH TOWN,"31.5614521,74.3083987"
257ADGBT912,EN. Crystal Enterprises,"Shop No. 7&8, Sheikh Ghulam Ali Medicine Market, Lahori, Lahore",DATA GANJ BUKHSH TOWN,"31.5728083,74.3112862"
258ADGBT912,"Faraz Medicine compay,","Shop 9.10.11.12, Ghulam Ali Medicine Market , lahore.",DATA GANJ BUKHSH TOWN,"31.5728083,74.3112862"
259BDGBT1012,"Furrukh Medicose,","45-Abdullah Road, Malik Park Raj Garh, Lahore.",DATA GANJ BUKHSH TOWN,"31.55569373601663,74.29304543290792"
260ADGBT912,"Umer Pharmacy,","G-6, Sharf Mension Chowk Ganga Ram Hospital Mozang Road, Lahore.",DATA GANJ BUKHSH TOWN,"31.554569,74.3208"
262ADGBT912,Health Mart Pharmacy,"96-Temple Road, Lahore.",DATA GANJ BUKHSH TOWN,"31.55219,74.319004"
266BDGBT1012,"Azaan Medical Store,","91-Main Sanda Road, Lahore",DATA GANJ BUKHSH TOWN,"31.563825756528978,74.28529509563066"
267BDGBT1012,"Hygienic Medical Store,","SWII-8.RS-2-44, Near Chirag Masjid out Fall Sanat Nagar, lahore.",DATA GANJ BUKHSH TOWN,"31.57046227605334,74.28987365157388"
268BDGBT1012,"Mubashar Medical Store,","main Bazr Malik Park Bilal Gunj, Lahore.",DATA GANJ BUKHSH TOWN,"31.57919355991661,74.29673322830024"
271ADGBT912,Digital Imaging System,"121-Habitate Shadman-II, Lahore.",DATA GANJ BUKHSH TOWN,"31.536850756781078,74.34293850137003"
272BDGBT1012,"Ashraf Medical Store,","H-I-32 Main Sanda Road Millat Raod Sanda Khurd, lahore.",DATA GANJ BUKHSH TOWN,"31.563773594598516,74.28454133246511"
273ADGBT912,"Javaid Pharmacy,","SW93-R-42, Session Court Road, Lahore.",DATA GANJ BUKHSH TOWN,"31.566391317813824,74.3034846447597"
275BDGBT1012,"Farooq Pharmacy/Medical Store,","Main Bazar Qasoor Pura, Ravi Road, Lahore.",DATA GANJ BUKHSH TOWN,"31.5937672,74.3030545"
277ADGBT912,"Ali Medical Store,","Shop No. 6, Akhri Bus Stop Alamgir Road, Islam pura, Lahore.",DATA GANJ BUKHSH TOWN,"31.564881614463026,74.29082864476155"
279ADGBT912,"Saif Ullah Pharmacy,","Shop No. 4 Properity No. 41-R-16 Ground Floor Sharf Mension Fatima Jinnah Road, lahore.",DATA GANJ BUKHSH TOWN,"31.5545698,74.3208006"
287ADGBT912,pak Medicose,"Shop No. 1, Under Pass Near Services Hospital, Jail road Lahore",DATA GANJ BUKHSH TOWN,"31.5416116,74.3352261"
288ADGBT912,Rooster Pharma Distributors,934-I Shadman Lahore,DATA GANJ BUKHSH TOWN,"31.53257430086911,74.33218116250842"
290ADGBT912,Arham Medical Store,10-Mohni Road Lahore,DATA GANJ BUKHSH TOWN,"31.58282758998463,74.30251142243534"
291ADGBT912,"New Rite Care Pharmacy,","2-Awan-e-Tijarat road, inside Kanan Health Care Lahore",DATA GANJ BUKHSH TOWN,"31.55316630333914,74.33516896571453"
293ADGBT912,M and M Interprises Pharmacy,15-B Shadman-II inside O.M.C Hospital Jail Road lahore,DATA GANJ BUKHSH TOWN,"31.535244,74.339965"
295ADGBT912,Decent Pharmacy,680-Shadman-I opposite Fatima Memorial Hospital Lahore.,DATA GANJ BUKHSH TOWN,"31.535846540748587,74.32887250515394"
297ADGBT912,Al-Sami Medical store,Zubair Road Shami Chowk Chaman bagh Rajgarh Lahore,DATA GANJ BUKHSH TOWN,"31.55593816864504,74.29239462215611"
299ADGBT912,New Fatima Jinnah Medical and General Store,"16-Queens Road, Sharif Mention opposite Emergency Ganga Ram Hospital LHR",DATA GANJ BUKHSH TOWN,"31.55527,74.321239"
301ADGBT912,Saad pharmacy,Shop No. 11 muhammad ali Amin Medicine Market Lohari Lahore,DATA GANJ BUKHSH TOWN,"31.5760469,74.3127406"
302ADGBT912,Pharma Links,"Shop No 5 47-Umer Road, abdali road Islampura Lahore",DATA GANJ BUKHSH TOWN,"31.566318,74.290762"
303ADGBT912,Prompt Pharma,15-B Agro square Flats Shadman Market Lahore,DATA GANJ BUKHSH TOWN,"31.542463888192117,74.33364282592794"
305ADGBT912,azra Pharmacy,Franchise Fazal Dins pharma Plus 690-Shadman Colony Lahore,DATA GANJ BUKHSH TOWN,"31.53556751783588,74.32857800732958"
308ADGBTB1012,Al-rehman Medical store,Shop No. 1 Al Meraj Marlet Main Bazar Chandani chowk sanda Kalan Lahore.,DATA GANJ BUKHSH TOWN,"31.557656742623422,74.28108503267158"
310ADGBT912,Makki Madni Pharmacy,Property No. S-77-R/73/1-B Shop No. 1-A Ground floor Taj arcade Jail road lahore,DATA GANJ BUKHSH TOWN,"31.54235191477025,74.33343883867046"
311ADGBT912,Ashrafia Pharmacy,21-Temple Road inside ramzan Ali Memorial Hospital Lahore.,DATA GANJ BUKHSH TOWN,"31.55904403892776,74.31734943512595"
312ADGBT912,Punjab medical services,"Pharmacy office No. 5, 2nd floor Mozang road near Ganga ram Hospital Lahore.",DATA GANJ BUKHSH TOWN,"31.556297459045677,74.3180483682631"
313ADGBT912,Paradise pharmacy,687-Shadman-I opp fatima Memorial hospital lahore,DATA GANJ BUKHSH TOWN,"31.535859235554792,74.32813141121568"
314BDGBT1012,Al-rehman Medicose,Tariq Building opp Dosay Bakers Main Sanda Road Sanda Lahore,DATA GANJ BUKHSH TOWN,"31.565515309247935,74.28530290017959"
315ADGBT912,Crown Distributors Pharmacy,"House No. 1, Haider Street Out Fall Road Sanat Nagar Lahore",DATA GANJ BUKHSH TOWN,"31.5700793,74.2856233"
316BDGBT1012,Bilal Medical Store,"Ansari road opposite Govt. Maternity Hospital street No 15, S-21/A Islampura Lahore",DATA GANJ BUKHSH TOWN,"31.566438149840153,74.28612453665815"
317ADGBT912,mahmood pharmacy,property No. S-36-R-2(D)/2 Chowk mayo Hospital Lahore,DATA GANJ BUKHSH TOWN,"31.56973,74.319588"
319BDGBT1012,Khurshid Medical,store Sadiq Manzil Capt Jamal road Sanda Kalan Lahore,DATA GANJ BUKHSH TOWN,"31.55709942299703,74.2788140176088"
320ADGBT912,Servaid pharmacy (Pvt) Ltd,"Plot No. 26, Mohalla Shahr-e-Fatima Queens Road Lahore",DATA GANJ BUKHSH TOWN,"31.552073524611863,74.31927522459436"
323ADGBT912,Shifa Pharmacy,"Shop No. 2, 303-ravi Road opp Lady willington hospital lahore",DATA GANJ BUKHSH TOWN,"31.590323238365244,74.30195044674406"
326ADGBT912,zakria Pharmacy,Bagh munshi Ladha ravi Road Lahore,DATA GANJ BUKHSH TOWN,"31.58754515551052,74.30547970846662"
327ADGBT912,shaheen pharmacy,"Shop No. 16, Under Pass Services Hospotal Jail Road lahore",DATA GANJ BUKHSH TOWN,"31.5416116,74.3352261"
328ADGBT912,Service medicose,18-Temple Road lahore,DATA GANJ BUKHSH TOWN,"31.5572102,74.31665"
329ADGBT912,Al-Fajar Traders,Shop No. 10. Muhammad ali amin Medicine Market 1st Floor Chowk urdu Bazar lahore,DATA GANJ BUKHSH TOWN,"31.5760469,74.3127406"
330ADGBT912,"Good health Pharmacy,",19-A Sham Nagar Road Chobirgi lahore,DATA GANJ BUKHSH TOWN,"31.5516934,74.2944566"
331ADGBT912,biotech agencies,"office No. 10, 2nd floor Sharjah Centre 62-shadman market lahore",DATA GANJ BUKHSH TOWN,"31.5393779,74.3345344"
333BDGBT1012,ahmed medical store,aftab Chowk Karim Park Lahore,DATA GANJ BUKHSH TOWN,"31.58623261224315,74.29679385181547"
334ADGBT912,Servaid Pharmacy Pvt Ltd,shop No. 17-18 Mubarak plaza Atif chowk Sandha Lahore,DATA GANJ BUKHSH TOWN,"31.561687,74.296555"
337BDGBT1012,Haroon Traders,shop No. 8 Ground floor hajvery Medicine market Lohari lahore.,DATA GANJ BUKHSH TOWN,"31.572691,74.3112316"
338bDGBT1012,sufian Medicine company,shop No. 12 Basement Hajvery Medicine Market outside Lohari Lahore,DATA GANJ BUKHSH TOWN,"31.5760469,74.3127406"
340BDGBT1012,Hamza Medical Store,"House No. 4, Street No. 81, Lytton Road Lahore.",DATA GANJ BUKHSH TOWN,"31.554965357414915,74.31530539066297"
342ADGBT912,"Mubashir Medicose,","Near Gate No. 2 Data Darbar Hospital, Qutab Road, Lahore",DATA GANJ BUKHSH TOWN,"31.57778170539813,74.30165648955848"
344bDGBT1012,Mohamin Medical Store,"House No. 22 old Sanda Road Chowk Moula Bukhsh, Bilal ganj lahore",DATA GANJ BUKHSH TOWN,"31.576072686088263,74.29618026164862"
345ADGBT912,"Akram Medical Store,","shop No. 3 m A Amin Medicine Market, Urdu Bazar, lahore",DATA GANJ BUKHSH TOWN,"31.5760469,74.3127406"
346BDGBT1013,Ashrif Medical store,"67-B Abakri Chowk, Islampura Sanat Nagar Lahore",DATA GANJ BUKHSH TOWN,"31.568400152146005,74.29187352403515"
347ADGBT0913,DNA Sciences,"Shop No. 17, Basement farid Plaza, 65-Shadman Market Lahore",DATA GANJ BUKHSH TOWN,"31.5380588,74.3296541"
353BDGBT1013,Al-Rehman Medical and General Store,"Main Bazar, Amin Park Lahore.",DATA GANJ BUKHSH TOWN,"31.58525886738594,74.29393554897588"
355ADGBT913,"Gourmet Pharmacy,",7/2 Riwaz Garden Lahore.,DATA GANJ BUKHSH TOWN,"31.555273229411284,74.30370077485429"
359BDGBT1013,"Khurram Meldical Store,","I/S Al-e-Fatima Hospital 65-Ravi Road, Lahore.",DATA GANJ BUKHSH TOWN,"31.5979563,74.3000311"
361ADGBT913,Fatima Memorial Hospital Pharmacy,"Shadman Colony, Lahore.",DATA GANJ BUKHSH TOWN,"31.5360653,74.3279864"
362BDGBT1013,"Arshad Medical and General Store,","Bismillah Palace Qari Road, Chowk Firdous Cinema Sanda Road, Lahore.",DATA GANJ BUKHSH TOWN,"31.56088,74.295988"
364ADGBT913,"Mehmood Pharmacy,","13-A Main Sanda Road, Lahore.",DATA GANJ BUKHSH TOWN,"31.560959,74.301965"
365BDGBT1013,"Prime Health Pharma,","17-LG (Basement) 14-A Queens Road, Lahore.",DATA GANJ BUKHSH TOWN,"31.554566,74.320804"
367ADGBT913,"Health Services,","316-Eden Centre, 3rd Floor 43-Jail Road, Lahore.",DATA GANJ BUKHSH TOWN,"31.5426577,74.3234664"
369BDGBT1013,Zain Medical store,near Ganga Ram Hospital Lahore,DATA GANJ BUKHSH TOWN,"31.5545698,74.3208006"
98BCANT1010,M/S ALNOOR MEDICAL STORE,SH#37 MUST IQBAL ROAD NAEAR LGH LHR,CANTT,"31.456944712207356,74.35153805537534"
99ACANT910,M/S NAAZ PHARMACY,SH #41-K COM AREA PH#1 DHA LHR,CANTT,"31.472476429409195,74.38808359169317"
4101ACANT910,M/S BIO CARE PHARMACY,345/A MAIN GAZI ROAD NEAR OLD ID CARD OFFICE DHA ROAD,CANTT,"31.460411245864815,74.35788647047471"
102BCANT1010,M/S AL GHANI MEDICINWE COM,MAIN BAZAR BHATA CHOK,CANTT,"31.488303882894673,74.41347908034085"
103ACANT910,M/S SANA HOSPITAL PHARMACY,IN SAID SANA HOSPITAL NISHAT COLONI,CANTT,"31.493810436595176,74.38716623934879"
104BCANT1010,M/S MOON TRETAD,"27-F-3, Main boliward pcsh",CANTT,"31.456869340115105,74.35231953906825"
109ACANT910,M/S NETWORK MARKITING,SERVISE PCHS 139/1A DH ALHR,CANTT,"31.46329768462883,74.36709782160592"
110ACANT910,M/S SERVED PHARTMACY,SH#2 PH2 DHA LHR,CANTT,"31.475054011475727,74.40270240334056"
111ACANT1010,M/S BEST BY ONE MEDICAL STORE,NEAR JAMIA MASJID,CANTT,"31.499146975033984,74.36679914412777"
124ACANT910,M/S FRENDZ PHARMA,21/5 AMJAD KHORHID ROAD,CANTT,"31.529626037516728,74.37730884009315"
128BCANT1011,M/S N B MEDICAL STORE,&GERNAL STORE LGH,CANTT,"31.45733510024636,74.35129765492157"
133ACANT911,GUARDIAN PHARMACY,Y BLOCK DHA LHR,CANTT,"31.482986839794126,74.3946660769768"
137ACANTT911,M/S ANGELINI PHARMACEUTICALS,"PVT LTD ,PLOT NO.221 BLCK CCA PH2 DHA",CANTT,"31.463678379628497,74.38514395386031"
143ACANTT911,M/S AMIR PHARMA,F BLOCK PCHS,CANTT,"31.453796128393915,74.3656498670073"
148ACANTT911,M/S SERVAID PHARMACY PVT LTD,INSIDE FAUJI FOUNDATION BEDIAN ROAD,CANTT,"31.49390427968217,74.4059731418021"
149ACANTT911,M/S DVM PHARMACY PVT LTD,"BLOKB-263 ,PCHS",CANTT,"31.463191057336196,74.36635006226761"
150ACANTT911,M/S IPSADISTRIBUTOR,14 BLCK F-2 PCHS,CANTT,"31.463048712290067,74.36678300709903"
151BCANTT1,M/S QADRI,H.NO.33 PCHS,CANTT,"31.463266958351586,74.36600250619752"
