License No,Store Name,Store Address,Town Name,Location
145BNT102012,M/S Fatima Medical Store,"Shop No.5, Pak Town, Main Kamahan Road, Lahore",NISHTAR TOWN,"31.453136475621818,74.36761686549166"
144BNT102012,M/S Furqan Medical Store,"Shop No.1, Mujahid Road, Near Noor Mehal Shadi Hall, Bank Stop Ferozepur Road, Lahore",NISHTAR TOWN,"31.440180925300215,74.35486012607335"
300504,M/s Ghafoor Medical and General Store,"290-Bilal Block Near Jamia Masjid Ghausia, Nishtar colony",NISHTAR TOWN,"31.4199862,74.3599335"
55BNT910,M/s Ghauri Medical Store,"Shop No.2, Kahna Kacha Road, Kahna Nau, Lahore",NISHTAR TOWN,"31.368241827230946,74.36506140443794"
272704,M/s Ghazi Medical and General Store,"Bhobatian Main Marked Raiwind Road, Lahore",NISHTAR TOWN,"31.401766428244986,74.22978591885726"
150ANT102012,"M/S Ghousia Medical and Cosmetic Store,","Gajju Matta Sua, Kahna Nau, Lahore",NISHTAR TOWN,"31.383068353512687,74.36855534434437"
168BNT102012,M/S Golra Sharif Medical Store,"391-Usman Block , Nishter Colony, Ferozepur Road, Lahore",NISHTAR TOWN,"31.42048849441756,74.36754995224936"
103ANT92011,M/s Gondal Pharmacy,"Pak Town, Kamahan Road, Chungi Amer Sidhu, Lahore",NISHTAR TOWN,"31.452910629846556,74.36702781908309"
241804,M/s Hafiz Asif Medical and General Store,"Moza Kamahan, Near Masjid Ahle Hadees Post Office Ismail Nagar",NISHTAR TOWN,"31.442161917003848,74.39577068381773"
356305,M/s Hafiz Medical Store,"H. No. 625, Block No.3, Sector D-I. Green Town, Lahore",NISHTAR TOWN,"31.443623801716065,74.3077377772469"
75BNT102011,M/S Haji Shafi Muhammad Medical and General Store,"381-D-1, Umer Chowk, Township, Lahore",NISHTAR TOWN,"31.443515939919,74.30768769590202"
135403,M/s Hassan Medical Store,"Shop No. 7 Ward No: 8, Kahna Nau, Lahore",NISHTAR TOWN,"31.36738171848386,74.36748430800662"
94103,M/s Hamza Medical and General Store,"Shop No 3&4, Moon Market, Near Wapda Office, Main Bazar Youhana Abad, Ferozepur Road",NISHTAR TOWN,"31.411677560798164,74.361221739049"
193903,M/s Hamza Medical Store,"Ward No.10 , Near Malik Liaqat Tent Services, Mauzia Kamahan",NISHTAR TOWN,"31.444113372990838,74.39156450642373"
83BNT102011,M/S Hashim Medical and General Store,"Shop # 585/3D-II, Green Town, Lahore",NISHTAR TOWN,"31.437588361018296,74.31030874494343"
325305,M/s Hassan Medical Store,"Near New Emergency, Lahore General Hospital, Ferozepur Road",NISHTAR TOWN,"31.4555723,74.3527563"
363605,M/s Hayat Pharmacy and General Store,Shop No. 1 Near Outdoor Lahore General Hospital Gate Ferozepur Road,NISHTAR TOWN,"31.4555723,74.3527563"
410506,M/s Hijazi Medical Store,"H#1061, Block-I, Sector D-I, Green Town, Lahore",NISHTAR TOWN,"31.43123170697894,74.30597360330059"
34302,M/s Himount Pharmaceutical (pvt) Ltd.,"17-K.M Ferozepur Road, Lahore",NISHTAR TOWN,"31.437968122229634,74.35556214858545"
